Index,category index,brand,link
115,18,Samsung,https://www.amazon.in/s?bbn=1375425031&rh=n%3A1375425031%2Cp_89%3ASamsung&dc&qid=1687369724&rnid=3837712031&ref=lp_1375425031_nr_p_89_3
116,18,Lenovo,https://www.amazon.in/s?bbn=1375425031&rh=n%3A1375425031%2Cp_89%3ALenovo&dc&qid=1687369724&rnid=3837712031&ref=lp_1375425031_nr_p_89_4
117,18,LG,https://www.amazon.in/s?bbn=1375425031&rh=n%3A1375425031%2Cp_89%3ALG&dc&qid=1687369724&rnid=3837712031&ref=lp_1375425031_nr_p_89_5
118,18,Dell,https://www.amazon.in/s?bbn=1375425031&rh=n%3A1375425031%2Cp_89%3ADell&dc&qid=1687369724&rnid=3837712031&ref=lp_1375425031_nr_p_89_6
119,19,Lenovo,https://www.amazon.in/s?bbn=1375392031&rh=n%3A1375392031%2Cp_89%3ALenovo&dc&qid=1687369727&rnid=3837712031&ref=lp_1375392031_nr_p_89_0
120,19,Dell,https://www.amazon.in/s?bbn=1375392031&rh=n%3A1375392031%2Cp_89%3ADell&dc&qid=1687369727&rnid=3837712031&ref=lp_1375392031_nr_p_89_1
121,19,ASUS,https://www.amazon.in/s?bbn=1375392031&rh=n%3A1375392031%2Cp_89%3AASUS&dc&qid=1687369727&rnid=3837712031&ref=lp_1375392031_nr_p_89_2
122,19,Apple,https://www.amazon.in/s?bbn=1375392031&rh=n%3A1375392031%2Cp_89%3AApple&dc&qid=1687369727&rnid=3837712031&ref=lp_1375392031_nr_p_89_3
123,19,HP,https://www.amazon.in/s?bbn=1375392031&rh=n%3A1375392031%2Cp_89%3AHP&dc&qid=1687369727&rnid=3837712031&ref=lp_1375392031_nr_p_89_4
124,19,SKULLSAINTS,https://www.amazon.in/s?bbn=1375392031&rh=n%3A1375392031%2Cp_89%3ASKULLSAINTS&dc&qid=1687369727&rnid=3837712031&ref=lp_1375392031_nr_p_89_5
125,19,Cyntexia,https://www.amazon.in/s?bbn=1375392031&rh=n%3A1375392031%2Cp_89%3ACyntexia&dc&qid=1687369727&rnid=3837712031&ref=lp_1375392031_nr_p_89_6
126,20,Western Digital,https://www.amazon.in/s?bbn=1375344031&rh=n%3A1375344031%2Cp_89%3AWestern+Digital&dc&qid=1687369728&rnid=3837712031&ref=lp_1375344031_nr_p_89_0
127,20,Crucial,https://www.amazon.in/s?bbn=1375344031&rh=n%3A1375344031%2Cp_89%3ACrucial&dc&qid=1687369728&rnid=3837712031&ref=lp_1375344031_nr_p_89_1
128,20,LS LAPSTER Quality Assured,https://www.amazon.in/s?bbn=1375344031&rh=n%3A1375344031%2Cp_89%3ALS+LAPSTER+Quality+Assured&dc&qid=1687369728&rnid=3837712031&ref=lp_1375344031_nr_p_89_2
129,20,Consistent,https://www.amazon.in/s?bbn=1375344031&rh=n%3A1375344031%2Cp_89%3AConsistent&dc&qid=1687369728&rnid=3837712031&ref=lp_1375344031_nr_p_89_3
